sprite_id,kind,component_id,birth_t,death_t,lifetime,peak_intensity,mean_intensity,mean_influence,mean_entropy,signed_motion,spin_displacement,bridge_score,collapse_contribution,classification
61,clause,11,95,107,13,0.021362622413881406,0.018174338705919228,0.1000612071923428,0.4360365980979117,-0.009814417982500517,-0.0008365180694284539,0.05807031438991571,0.017727901065994835,hotspot
62,clause,12,0,31,32,0.04979755171769955,0.009644675908904549,0.07818655473163494,0.266638040180645,-0.15482600382789966,0.2951004228473185,0.1797506866451992,0.13834623028799323,hotspot
63,clause,12,84,103,20,0.005460796039832447,0.004324781548135285,0.026723985800753115,0.1760955694733985,0.0007179267404827591,-0.035811216579291094,0.09433372517020096,0.005206585677589717,hotspot
64,clause,12,271,275,5,0.0036201564031366237,0.00356374318400158,0.022626225362746374,0.15339470692296414,-0.00012800093632926723,0.0008333559919653233,0.027318458757835774,0.001167611174563833,hotspot
65,clause,13,0,10,11,0.04025431227731824,0.017765825595022114,0.19942728564104248,0.3825992291301784,-0.1323686480922219,0.3097384889726871,0.13393387214117103,0.12989647772988158,hotspot
66,clause,13,77,88,12,0.0045189768421068964,0.004221870622820797,0.16332785354060367,0.17256219438999063,0.0002410690068758957,0.02557136445117969,0.06327227538712493,0.0010510303415823792,hotspot
67,clause,13,183,192,10,0.004656326096814113,0.0043005459604360825,0.05398075337328434,0.17557170678447673,-0.002218581591108059,0.012687161353176601,0.05200392247781278,0.005718293182748387,hotspot
68,clause,13,214,221,8,0.003983753951280409,0.003906671792884255,0.0919650703552595,0.16365105574631725,-0.0003610721049268732,-0.00876420472014161,0.043040821271905234,0.00174463356677385,hotspot
69,clause,13,234,245,12,0.004402019725821059,0.004197675612710777,0.06068362496053801,0.17254807173821238,1.7189940899470235e-06,-0.002796882815595092,0.05683294854280853,0.0020649440732135845,hotspot
70,clause,14,0,8,9,0.04999311719396699,0.03777484674457071,0.1696261063575201,0.5988546120321421,-0.09772545292048845,0.12414524975718408,0.0825547728081249,0.0961038660577582,hotspot
